yaw:  -8.1943777303 Yaw vel:  0.703 Yaw acc:  -9.98 yaw Deseada:  3.56120503476 Control: 1529.39340206 Error:  -11.7555827651 
yaw:  -4.59604154958 Yaw vel:  0.587 Yaw acc:  -9.96 yaw Deseada:  5.00965103332 Control: 1524.00607248 Error:  -9.6056925829 
yaw:  -4.59604154958 Yaw vel:  0.587 Yaw acc:  -9.96 yaw Deseada:  6.75083289589 Control: 1528.37379318 Error:  -11.3468744455 
yaw:  -1.65101029493 Yaw vel:  0.481 Yaw acc:  -9.88 yaw Deseada:  8.79571152033 Control: 1526.11338926 Error:  -10.4467218153 
yaw:  -1.65101029493 Yaw vel:  0.481 Yaw acc:  -9.88 yaw Deseada:  11.1505761948 Control: 1532.0128997 Error:  -12.8015864897 
yaw:  0.760441138956 Yaw vel:  0.481 Yaw acc:  -9.88 yaw Deseada:  13.8169126256 Control: 1532.64214553 Error:  -13.0564714867 
yaw:  0.760441138956 Yaw vel:  0.398 Yaw acc:  -9.88 yaw Deseada:  16.7913356677 Control: 1540.08851732 Error:  -16.0308945288 
yaw:  2.73930990555 Yaw vel:  0.332 Yaw acc:  -9.9 yaw Deseada:  20.0655877209 Control: 1543.32060688 Error:  -17.3262778154 
yaw:  2.73930990555 Yaw vel:  0.332 Yaw acc:  -9.9 yaw Deseada:  23.6266028842 Control: 1552.23173478 Error:  -20.8872929786 
yaw:  4.40129876908 Yaw vel:  0.289 Yaw acc:  -9.86 yaw Deseada:  27.4566360899 Control: 1557.64656286 Error:  -23.0553373209 
yaw:  4.40129876908 Yaw vel:  0.289 Yaw acc:  -9.86 yaw Deseada:  31.5334555786 Control: 1567.84584623 Error:  -27.1321568095 
yaw:  5.97950148861 Yaw vel:  0.3 Yaw acc:  -9.89 yaw Deseada:  35.8305962342 Control: 1574.63804238 Error:  -29.8510947455 
yaw:  5.97950148861 Yaw vel:  0.3 Yaw acc:  -9.89 yaw Deseada:  40.3176704957 Control: 1585.8624276 Error:  -34.3381690071 
yaw:  7.80138230583 Yaw vel:  0.354 Yaw acc:  -9.91 yaw Deseada:  44.9607327942 Control: 1592.90906656 Error:  -37.1593504884 
yaw:  7.80138230583 Yaw vel:  0.354 Yaw acc:  -9.91 yaw Deseada:  49.7226927561 Control: 1604.82131841 Error:  -41.9213104503 
yaw:  10.146189663 Yaw vel:  0.474 Yaw acc:  -9.94 yaw Deseada:  54.5637717665 Control: 1611.05341203 Error:  -44.4175821035 
yaw:  10.146189663 Yaw vel:  0.474 Yaw acc:  -9.94 yaw Deseada:  59.4419969083 Control: 1623.25799624 Error:  -49.2958072453 
yaw:  13.4507026316 Yaw vel:  0.662 Yaw acc:  -9.99 yaw Deseada:  64.3137257984 Control: 1627.16349359 Error:  -50.8630231668 
yaw:  13.4507026316 Yaw vel:  0.662 Yaw acc:  -9.99 yaw Deseada:  69.1341954288 Control: 1639.22698674 Error:  -55.6834927973 
yaw:  17.7941385993 Yaw vel:  0.844 Yaw acc:  -9.88 yaw Deseada:  73.8580878008 Control: 1640.16131358 Error:  -56.0639492015 
yaw:  17.7941385993 Yaw vel:  0.844 Yaw acc:  -9.88 yaw Deseada:  78.4401049145 Control: 1651.63226315 Error:  -60.6459663152 
yaw:  23.3830143122 Yaw vel:  1.012 Yaw acc:  -9.92 yaw Deseada:  82.8355455501 Control: 1648.62681036 Error:  -59.4525312379 
yaw:  23.3830143122 Yaw vel:  1.012 Yaw acc:  -9.92 yaw Deseada:  87.0008762486 Control: 1659.06042066 Error:  -63.6178619364 
yaw:  29.7485303451 Yaw vel:  1.16 Yaw acc:  -9.96 yaw Deseada:  90.894288973 Control: 1652.85504081 Error:  -61.1457586279 
yaw:  29.7485303451 Yaw vel:  1.16 Yaw acc:  -9.96 yaw Deseada:  94.4762381048 Control: 1661.8328237 Error:  -64.7277077597 
yaw:  36.8238823251 Yaw vel:  1.285 Yaw acc:  -10.04 yaw Deseada:  97.7099496974 Control: 1652.20063328 Error:  -60.8860673722 
yaw:  36.8238823251 Yaw vel:  1.285 Yaw acc:  -10.04 yaw Deseada:  100.561896273 Control: 1659.35582408 Error:  -63.7380139481 
yaw:  44.3564539985 Yaw vel:  1.361 Yaw acc:  -10.14 yaw Deseada:  103.002230902 Control: 1646.59518023 Error:  -58.6457769034 
yaw:  44.3564539985 Yaw vel:  1.361 Yaw acc:  -10.14 yaw Deseada:  105.00517483 Control: 1651.62937751 Error:  -60.6487208312 
yaw:  52.2681250764 Yaw vel:  1.379 Yaw acc:  -10.07 yaw Deseada:  106.549353544 Control: 1635.67899141 Error:  -54.2812284678 
yaw:  52.2681250764 Yaw vel:  1.379 Yaw acc:  -10.07 yaw Deseada:  107.61807683 Control: 1638.37892044 Error:  -55.3499517541 
yaw:  60.1849700226 Yaw vel:  1.364 Yaw acc:  -9.99 yaw Deseada:  108.199559116 Control: 1620.00873979 Error:  -48.0145890933 
yaw:  60.1849700226 Yaw vel:  1.364 Yaw acc:  -9.99 yaw Deseada:  108.287077183 Control: 1620.25559874 Error:  -48.1021071605 
yaw:  67.7870252103 Yaw vel:  1.289 Yaw acc:  -9.94 yaw Deseada:  107.879063156 Control: 1600.19981868 Error:  -40.0920379455 
yaw:  67.7870252103 Yaw vel:  1.289 Yaw acc:  -9.94 yaw Deseada:  106.979131513 Control: 1597.97686465 Error:  -39.1921063022 
yaw:  74.8978463627 Yaw vel:  1.189 Yaw acc:  -10.04 yaw Deseada:  105.596039753 Control: 1576.71338656 Error:  -30.6981933901 
yaw:  74.8978463627 Yaw vel:  1.189 Yaw acc:  -10.04 yaw Deseada:  103.743583211 Control: 1572.10734292 Error:  -28.8457368487 
yaw:  81.3225135414 Yaw vel:  1.03 Yaw acc:  -10.13 yaw Deseada:  101.440425385 Control: 1550.26180709 Error:  -20.1179118438 
yaw:  81.3225135414 Yaw vel:  1.03 Yaw acc:  -10.13 yaw Deseada:  98.7098659823 Control: 1543.45806673 Error:  -17.3873524409 
yaw:  86.4882744031 Yaw vel:  0.85 Yaw acc:  -10.07 yaw Deseada:  95.5795497274 Control: 1522.69685477 Error:  -9.09127532435 
yaw:  86.4882744031 Yaw vel:  0.85 Yaw acc:  -10.07 yaw Deseada:  92.0811197314 Control: 1513.96890173 Error:  -5.59284532826 
yaw:  90.6677627789 Yaw vel:  0.66 Yaw acc:  -9.95 yaw Deseada:  88.2498199654 Control: 1493.92489455 Error:  2.41794281343 
yaw:  90.6677627789 Yaw vel:  0.66 Yaw acc:  -9.95 yaw Deseada:  84.1240520503 Control: 1483.62514641 Error:  6.54371072854 
yaw:  93.795818664 Yaw vel:  0.467 Yaw acc:  -9.84 yaw Deseada:  79.7448921677 Control: 1464.84434395 Error:  14.0509264963 
yaw:  93.795818664 Yaw vel:  0.467 Yaw acc:  -9.84 yaw Deseada:  75.1555744289 Control: 1453.38206687 Error:  18.6402442351 
yaw:  95.8119743938 Yaw vel:  0.324 Yaw acc:  -9.77 yaw Deseada:  70.4009474742 Control: 1436.44687936 Error:  25.4110269196 
yaw:  95.8119743938 Yaw vel:  0.324 Yaw acc:  -9.77 yaw Deseada:  65.5269114266 Control: 1424.26894999 Error:  30.2850629672 
yaw:  97.2726923101 Yaw vel:  0.224 Yaw acc:  -9.87 yaw Deseada:  60.5798425835 Control: 1408.2436984 Error:  36.6928497266 
yaw:  97.2726923101 Yaw vel:  0.224 Yaw acc:  -9.87 yaw Deseada:  55.606013385 Control: 1395.81453824 Error:  41.666678925 
yaw:  97.7087589074 Yaw vel:  -0.015 Yaw acc:  -9.86 yaw Deseada:  50.6510152622 Control: 1382.33530492 Error:  47.0577436452 
yaw:  97.7087589074 Yaw vel:  -0.015 Yaw acc:  -9.86 yaw Deseada:  45.7591919245 Control: 1370.10763212 Error:  51.9495669829 
